[121, 118, 117, 118, 118, 118, 117, 120]
[112, 110, 108, 108, 110, 111, 111, 114]
[54, 51, 52, 52, 52, 53, 53, 52]
[4, 4, 4, 4, 4, 4, 4, 4]
[164, 161, 159, 161, 161, 160, 161, 163]
[107, 109, 105, 104, 105, 105, 105, 107]
[136, 136, 138, 143, 144, 139, 135, 136]
[158, 159, 154, 154, 155, 155, 152, 149]
[156, 154, 151, 153, 153, 155, 150, 151]
[12, 12, 12, 12, 12, 12, 12, 12]
[258, 259, 258, 257, 261, 262, 264, 270]
[97, 101, 105, 105, 102, 97, 94, 93]
[167, 172, 165, 162, 164, 165, 165, 162]
[64, 63, 62, 63, 64, 65, 64, 65]
[103, 103, 106, 109, 106, 105, 106, 105]
[115, 112, 110, 110, 111, 111, 113, 116]
[121, 118, 117, 118, 118, 118, 117, 120]
[177, 173, 177, 179, 171, 169, 174, 168]
[136, 136, 138, 143, 144, 139, 135, 136]
[167, 172, 165, 162, 164, 165, 165, 162]
[54, 51, 52, 52, 52, 53, 53, 52]
[4, 4, 4, 4, 4, 4, 4, 4]
[250, 247, 248, 247, 251, 254, 255, 255]
[156, 158, 152, 153, 154, 153, 151, 148]
[150, 146, 144, 149, 151, 151, 152, 152]
[38, 39, 41, 43, 41, 39, 37, 36]
[161, 159, 154, 151, 150, 152, 153, 156]
[139, 138, 136, 139, 139, 137, 133, 131]
[77, 76, 79, 79, 80, 79, 79, 79]
[140, 139, 139, 140, 139, 139, 139, 142]
[76, 76, 79, 78, 79, 79, 78, 78]
[98, 98, 100, 98, 98, 97, 95, 95]
[117, 114, 111, 111, 113, 113, 115, 118]
[115, 113, 110, 110, 112, 112, 113, 117]
[64, 63, 62, 63, 64, 65, 64, 65]
[254, 248, 245, 247, 251, 254, 257, 255]
[163, 155, 152, 157, 156, 159, 159, 156]
[111, 108, 107, 106, 108, 111, 110, 111]
[169, 164, 163, 166, 169, 175, 175, 172]
[125, 125, 122, 121, 120, 121, 122, 123]
[258, 259, 258, 257, 261, 262, 264, 270]
[218, 217, 217, 218, 211, 210, 211, 209]
[74, 73, 73, 75, 74, 75, 75, 75]
[174, 169, 167, 168, 172, 173, 173, 179]
[304, 299, 303, 299, 304, 312, 313, 312]
[133, 131, 128, 133, 138, 134, 128, 125]
[276, 273, 275, 279, 273, 272, 275, 273]
[169, 163, 160, 164, 166, 163, 159, 161]
[99, 97, 99, 98, 96, 96, 97, 97]
[147, 146, 147, 147, 149, 153, 152, 152]
