[45, 43, 42, 42, 43, 44, 44, 43]
[24, 23, 23, 23, 23, 24, 24, 24]
[77, 76, 75, 76, 76, 76, 76, 77]
[23, 22, 22, 22, 22, 23, 23, 23]
[161, 162, 156, 157, 158, 158, 155, 152]
[1, 1, 1, 1, 1, 1, 1, 1]
[22, 22, 22, 22, 22, 23, 23, 23]
[45, 43, 42, 42, 43, 44, 44, 43]
[22, 22, 22, 22, 22, 22, 22, 23]
[23, 22, 22, 22, 22, 23, 23, 23]
[24, 23, 23, 23, 23, 24, 24, 24]
[75, 74, 72, 73, 73, 73, 73, 74]
[55, 52, 52, 53, 52, 54, 54, 53]
[122, 119, 116, 116, 118, 118, 120, 123]
[2, 2, 2, 2, 2, 2, 2, 2]
[77, 77, 80, 79, 80, 80, 79, 80]
[116, 113, 110, 110, 112, 112, 114, 117]
[23, 22, 22, 22, 22, 23, 23, 23]
[20, 19, 18, 18, 18, 19, 19, 19]
[37, 38, 39, 39, 38, 38, 39, 38]
[1, 1, 1, 1, 1, 1, 1, 1]
[170, 168, 167, 170, 163, 162, 163, 162]
[129, 127, 123, 123, 123, 124, 125, 127]
[77, 74, 74, 76, 76, 76, 76, 77]
[22, 22, 22, 22, 22, 22, 22, 23]
[23, 22, 22, 22, 22, 23, 23, 23]
[54, 51, 52, 53, 52, 53, 54, 52]
[129, 127, 123, 123, 123, 124, 125, 127]
[75, 74, 72, 73, 73, 73, 73, 74]
[75, 74, 72, 73, 73, 73, 73, 74]
[122, 119, 116, 116, 118, 118, 120, 123]
[20, 19, 19, 18, 19, 19, 19, 19]
[122, 119, 116, 116, 118, 118, 120, 123]
[22, 21, 22, 21, 22, 22, 22, 22]
[2, 2, 2, 2, 2, 2, 2, 2]
[22, 22, 22, 22, 22, 23, 23, 23]
[122, 119, 116, 116, 118, 118, 120, 123]
[20, 19, 19, 18, 19, 19, 19, 19]
[124, 121, 119, 119, 120, 120, 122, 126]
[23, 22, 22, 22, 22, 23, 23, 23]
[53, 50, 50, 51, 51, 52, 52, 51]
[54, 51, 52, 53, 52, 53, 54, 52]
[53, 50, 51, 51, 51, 52, 52, 51]
[23, 22, 22, 22, 22, 23, 23, 23]
[161, 162, 156, 157, 158, 158, 155, 152]
[77, 77, 80, 79, 80, 80, 79, 80]
[80, 79, 78, 78, 78, 78, 78, 80]
[124, 121, 119, 119, 120, 120, 122, 126]
