[381, 381, 383, 378, 378, 377, 370, 362]
[381, 381, 381, 383, 386, 393, 392, 392]
[324, 326, 329, 324, 318, 317, 321, 328]
[338, 339, 334, 336, 339, 345, 347, 347]
[361, 362, 362, 355, 354, 353, 353, 354]
[349, 351, 354, 351, 356, 360, 357, 353]
[287, 291, 294, 302, 298, 289, 283, 284]
[343, 352, 352, 350, 358, 347, 338, 333]
[317, 315, 314, 317, 322, 324, 325, 325]
[391, 390, 393, 395, 396, 391, 381, 379]
[359, 356, 359, 357, 358, 358, 361, 367]
[358, 364, 362, 358, 358, 360, 361, 363]
[333, 339, 341, 342, 341, 334, 339, 341]
[226, 234, 235, 236, 236, 238, 232, 227]
[349, 349, 345, 350, 349, 350, 351, 351]
[351, 345, 354, 365, 354, 354, 354, 351]
[381, 381, 383, 378, 378, 377, 370, 362]
[380, 380, 387, 388, 387, 384, 384, 382]
[287, 291, 294, 302, 298, 289, 283, 284]
[333, 339, 341, 342, 341, 334, 339, 341]
[324, 326, 329, 324, 318, 317, 321, 328]
[338, 339, 334, 336, 339, 345, 347, 347]
[157, 165, 160, 155, 157, 154, 152, 153]
[371, 367, 366, 364, 365, 366, 368, 373]
[344, 339, 341, 339, 340, 339, 342, 342]
[356, 351, 344, 347, 347, 351, 353, 351]
[403, 408, 407, 408, 406, 408, 400, 395]
[331, 331, 331, 344, 340, 331, 328, 330]
[374, 369, 366, 364, 361, 365, 365, 369]
[297, 308, 317, 311, 305, 302, 299, 296]
[357, 352, 351, 349, 349, 349, 353, 358]
[305, 302, 293, 291, 292, 292, 296, 299]
[304, 315, 319, 319, 314, 305, 297, 294]
[325, 319, 318, 320, 323, 328, 335, 339]
[226, 234, 235, 236, 236, 238, 232, 227]
[344, 345, 354, 350, 344, 341, 337, 339]
[351, 344, 344, 340, 340, 338, 342, 347]
[382, 388, 390, 389, 380, 375, 374, 371]
[388, 389, 398, 405, 402, 401, 397, 393]
[359, 350, 346, 348, 356, 363, 365, 364]
[359, 356, 359, 357, 358, 358, 361, 367]
[318, 312, 312, 306, 300, 301, 300, 303]
[272, 276, 279, 277, 280, 276, 269, 271]
[404, 404, 404, 401, 400, 403, 406, 407]
[352, 360, 359, 360, 362, 360, 360, 360]
[299, 308, 306, 308, 305, 298, 298, 302]
[294, 302, 306, 305, 303, 298, 297, 295]
[356, 363, 366, 358, 352, 344, 339, 337]
[339, 349, 358, 358, 348, 341, 336, 331]
[328, 329, 330, 324, 319, 314, 316, 320]
